Key,Translation


#[ guide ],<<-|--------------------------------------------------|->>


NPCName.Guide,Classic!
Bestiary_FlavorText.npc_Guide,"Good ol' classic Sans. He's always there to help a pal out."

GuideNames.Andrew,Sans
GuideNames.Asher,Sans
GuideNames.Bradley,Sans
GuideNames.Brandon,Sans
GuideNames.Brett,Sans
GuideNames.Brian,Sans
GuideNames.Cody,Sans
GuideNames.Cole,Sans
GuideNames.Colin,Sans
GuideNames.Connor,Sans
GuideNames.Daniel,Sans
GuideNames.Dylan,Sans
GuideNames.Garrett,Sans
GuideNames.Harley,Sans
GuideNames.Jack,Sans
GuideNames.Jacob,Sans
GuideNames.Jake,Sans
GuideNames.Jeff,Sans
GuideNames.Jeffrey,Sans
GuideNames.Joe,Sans
GuideNames.Kevin,Sans
GuideNames.Kyle,Sans
GuideNames.Levi,Sans
GuideNames.Logan,Sans
GuideNames.Luke,Sans
GuideNames.Marty,Sans
GuideNames.Maxwell,Sans
GuideNames.Ryan,Sans
GuideNames.Scott,Sans
GuideNames.Seth,Sans
GuideNames.Steve,Sans
GuideNames.Tanner,Sans
GuideNames.Trent,Sans
GuideNames.Wyatt,Sans
GuideNames.Zach,Sans


#[ merchant ],<<-|-----------------------------------------------|->>


NPCName.Merchant,Koridai!
Bestiary_FlavorText.npc_Merchant,"The lovable merchant from a distant sansd (sans land). He'll sell you anything, as long as you've got enoguh RUBIES!"

MerchantNames.Alfred,Sans
MerchantNames.Barney,Sans
MerchantNames.Calvin,Sans
MerchantNames.Edmund,Sans
MerchantNames.Edwin,Sans
MerchantNames.Eugene,Sans
MerchantNames.Frank,Sans
MerchantNames.Frederick,Sans
MerchantNames.Gilbert,Sans
MerchantNames.Gus,Sans
MerchantNames.Harold,Sans
MerchantNames.Howard,Sans
MerchantNames.Humphrey,Sans
MerchantNames.Isaac,Sans
MerchantNames.Joseph,Sans
MerchantNames.Kristian,Sans
MerchantNames.Louis,Sans
MerchantNames.Milton,Sans
MerchantNames.Mortimer,Sans
MerchantNames.Ralph,Sans
MerchantNames.Seymour,Sans
MerchantNames.Walter,Sans
MerchantNames.Wilbur,Morshans


#[ nurse ],<<-|--------------------------------------------------|->>


NPCName.Nurse,Medic!
Bestiary_FlavorText.npc_Nurse,"The medic guy. Yeah, that's it."

NurseNames.Abigail,Sans
NurseNames.Allison,Sans
NurseNames.Amy,Sans
NurseNames.Caitlin,Sans
NurseNames.Carly,Sans
NurseNames.Claire,Sans
NurseNames.Emily,Sans
NurseNames.Emma,Sans
NurseNames.Hannah,Sans
NurseNames.Heather,Sans
NurseNames.Helen,Sans
NurseNames.Holly,Sans
NurseNames.Jenna,Sans
NurseNames.Kaitlin,Sans
NurseNames.Kaitlyn,Sans
NurseNames.Katelyn,Sans
NurseNames.Katherine,Sans
NurseNames.Kathryn,Sans
NurseNames.Katie,Sans
NurseNames.Kayla,Sans
NurseNames.Lisa,Sans
NurseNames.Lorraine,Sans
NurseNames.Madeline,Sans
NurseNames.Molly,Sans


#[ demolitionist ],<<-|------------------------------------------|->>


NPCName.Demolitionist,Bomb!
